Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,6.130000,6.140000,6.030000,6.080000,5.874205,26505800
2019-03-05,6.090000,6.190000,6.090000,6.160000,5.951498,18795000
2019-03-06,6.120000,6.130000,6.060000,6.100000,5.893528,21097500
2019-03-07,6.070000,6.080000,6.020000,6.030000,5.825898,17579400
2019-03-08,5.960000,6.090000,5.950000,6.070000,5.864544,28689400
2019-03-11,6.050000,6.170000,6.040000,6.140000,5.932174,26335800
2019-03-12,6.180000,6.250000,6.150000,6.200000,5.990143,20990500
2019-03-13,6.150000,6.180000,6.130000,6.140000,5.932174,16889800
2019-03-14,6.170000,6.250000,6.150000,6.220000,6.009467,18598000
2019-03-15,6.340000,6.420000,6.310000,6.390000,6.173712,22230200
2019-03-18,6.370000,6.380000,6.310000,6.330000,6.115743,20221100
2019-03-19,6.380000,6.410000,6.320000,6.350000,6.135067,23996100
2019-03-20,6.290000,6.330000,6.210000,6.290000,6.077097,23309800
2019-03-21,6.260000,6.340000,6.240000,6.260000,6.048112,31097600
2019-03-22,5.940000,6.020000,5.760000,5.880000,5.680974,95614700
2019-03-25,5.930000,5.950000,5.830000,5.870000,5.671313,34181200
2019-03-26,5.860000,5.870000,5.800000,5.820000,5.623005,23046800
2019-03-27,5.810000,5.860000,5.780000,5.820000,5.623005,24587100
2019-03-28,5.720000,5.740000,5.660000,5.690000,5.497406,40834100
2019-03-29,5.740000,5.760000,5.690000,5.720000,5.526390,23922300
2019-04-01,5.780000,5.800000,5.750000,5.770000,5.574698,18024900
2019-04-02,5.830000,5.850000,5.770000,5.810000,5.613344,16224300
2019-04-03,5.920000,5.960000,5.890000,5.900000,5.700298,21194900
2019-04-04,5.950000,5.960000,5.880000,5.900000,5.700298,17011000
2019-04-05,5.930000,5.940000,5.910000,5.920000,5.719621,9515600
2019-04-08,5.940000,5.960000,5.900000,5.960000,5.758267,10652700
2019-04-09,5.890000,5.920000,5.850000,5.860000,5.661652,14416600
2019-04-10,5.860000,5.890000,5.840000,5.850000,5.651990,13640900
2019-04-11,5.860000,5.900000,5.840000,5.870000,5.671313,12022900
2019-04-12,5.900000,5.960000,5.880000,5.940000,5.738945,16105100
2019-04-15,5.730000,5.730000,5.630000,5.640000,5.449098,39245500
2019-04-16,5.680000,5.720000,5.660000,5.680000,5.487744,21111600
2019-04-17,5.760000,5.870000,5.750000,5.820000,5.623005,26628100
2019-04-18,5.800000,5.840000,5.770000,5.810000,5.613344,13496600
2019-04-22,5.840000,5.840000,5.780000,5.810000,5.613344,11826100
2019-04-23,5.770000,5.810000,5.750000,5.800000,5.603683,15914700
2019-04-24,5.810000,5.840000,5.760000,5.790000,5.594021,23394900
2019-04-25,5.340000,5.350000,5.200000,5.300000,5.120607,72436300
2019-04-26,5.340000,5.450000,5.330000,5.360000,5.178576,27525200
2019-04-29,5.360000,5.370000,5.300000,5.320000,5.139929,24526200
2019-04-30,5.240000,5.330000,5.230000,5.280000,5.101284,29843800
2019-05-01,5.310000,5.340000,5.220000,5.220000,5.043314,24970500
2019-05-02,5.210000,5.220000,5.150000,5.190000,5.014330,29368500
2019-05-03,5.140000,5.210000,5.130000,5.180000,5.004668,28702900
2019-05-06,5.060000,5.160000,5.050000,5.140000,4.966022,28199200
2019-05-07,5.070000,5.100000,4.980000,5.040000,4.869407,39943400
2019-05-08,4.990000,5.040000,4.980000,4.980000,4.811438,22076200
2019-05-09,4.920000,4.970000,4.900000,4.950000,4.782453,29449800
2019-05-10,4.910000,4.960000,4.860000,4.930000,4.763129,22776500
2019-05-13,4.830000,4.860000,4.800000,4.820000,4.656854,23964600
2019-05-14,4.830000,4.850000,4.760000,4.770000,4.608545,32932800
2019-05-15,4.720000,4.800000,4.710000,4.770000,4.608545,21222100
2019-05-16,4.900000,5.000000,4.890000,4.960000,4.792115,75182300
2019-05-17,4.950000,5.020000,4.930000,4.940000,4.772792,34831200
2019-05-20,5.070000,5.120000,5.000000,5.080000,4.908052,42968100
2019-05-21,5.170000,5.170000,5.090000,5.100000,4.927376,24851200
2019-05-22,5.110000,5.160000,5.100000,5.130000,5.011387,20785600
2019-05-23,4.980000,5.000000,4.950000,4.970000,4.855087,17333300
2019-05-24,5.120000,5.150000,5.040000,5.120000,5.001619,22388800
2019-05-28,5.080000,5.110000,5.000000,5.010000,4.894162,19535700
2019-05-29,4.940000,5.050000,4.930000,5.040000,4.923469,23746100
2019-05-30,5.040000,5.150000,5.030000,5.090000,4.972312,24526200
2019-05-31,5.020000,5.080000,5.000000,5.050000,4.933238,16180100
2019-06-03,5.000000,5.040000,4.960000,4.990000,4.874625,24869000
2019-06-04,5.070000,5.090000,5.030000,5.030000,4.913700,22725500
2019-06-05,5.070000,5.070000,4.990000,5.050000,4.933238,15803200
2019-06-06,5.030000,5.050000,5.000000,5.020000,4.903931,15510600
2019-06-07,5.050000,5.100000,5.040000,5.080000,4.962543,16326000
2019-06-10,5.050000,5.070000,4.960000,4.980000,4.864856,25758100
2019-06-11,5.110000,5.190000,5.090000,5.160000,5.040693,26815900
2019-06-12,5.120000,5.130000,5.080000,5.100000,4.982081,12966900
2019-06-13,5.100000,5.100000,5.040000,5.080000,4.962543,13706800
2019-06-14,4.980000,5.000000,4.950000,4.950000,4.835549,17647500
2019-06-17,4.990000,5.020000,4.960000,4.970000,4.855087,12548800
2019-06-18,5.040000,5.060000,4.990000,5.010000,4.894162,15336500
2019-06-19,5.060000,5.070000,5.010000,5.040000,4.923469,12689700
2019-06-20,5.130000,5.190000,5.110000,5.170000,5.050462,17136700
2019-06-21,5.130000,5.180000,5.120000,5.160000,5.040693,12868200
2019-06-24,5.090000,5.100000,5.040000,5.040000,4.923469,19801400
2019-06-25,5.010000,5.080000,4.990000,4.990000,4.874625,23153800
2019-06-26,5.050000,5.070000,5.010000,5.020000,4.903931,14289100
2019-06-27,5.010000,5.020000,4.930000,4.970000,4.855087,30968300
2019-06-28,5.010000,5.030000,4.990000,5.010000,4.894162,14905700
2019-07-01,5.040000,5.040000,5.000000,5.030000,4.913700,15230800
2019-07-02,5.050000,5.070000,5.030000,5.060000,4.943006,13201400
2019-07-03,5.100000,5.120000,5.090000,5.120000,5.001619,7821400
2019-07-05,5.090000,5.090000,5.020000,5.060000,4.943006,8113800
2019-07-08,5.020000,5.060000,5.010000,5.040000,4.923469,9045700
2019-07-09,5.010000,5.050000,4.980000,5.030000,4.913700,16437900
2019-07-10,5.060000,5.080000,5.040000,5.060000,4.943006,11442100
2019-07-11,5.080000,5.100000,5.050000,5.060000,4.943006,22504100
2019-07-12,5.090000,5.100000,5.060000,5.100000,4.982081,20398400
2019-07-15,5.110000,5.120000,5.070000,5.100000,4.982081,18689300
2019-07-16,5.150000,5.210000,5.110000,5.120000,5.001619,19077000
2019-07-17,5.110000,5.200000,5.100000,5.160000,5.040693,41825300
2019-07-18,5.160000,5.180000,5.100000,5.140000,5.021156,26896100
2019-07-19,5.160000,5.200000,5.130000,5.140000,5.021156,28212400
2019-07-22,5.170000,5.180000,5.110000,5.120000,5.001619,27722600
2019-07-23,5.170000,5.180000,5.130000,5.170000,5.050462,14465400
2019-07-24,5.200000,5.220000,5.130000,5.180000,5.060231,18065500
2019-07-25,5.550000,5.770000,5.510000,5.700000,5.568208,92429500
2019-07-26,5.690000,5.740000,5.630000,5.720000,5.587746,38025600
2019-07-29,5.660000,5.690000,5.610000,5.650000,5.573935,19818500
2019-07-30,5.550000,5.570000,5.450000,5.470000,5.396358,40569100
2019-07-31,5.470000,5.500000,5.370000,5.410000,5.337165,17820400
2019-08-01,5.430000,5.500000,5.350000,5.370000,5.297704,22983200
2019-08-02,5.400000,5.420000,5.330000,5.400000,5.327300,17603800
2019-08-05,5.330000,5.350000,5.250000,5.290000,5.218781,18350900
2019-08-06,5.360000,5.380000,5.320000,5.350000,5.277973,19943200
2019-08-07,5.260000,5.330000,5.230000,5.320000,5.248377,26352300
2019-08-08,5.380000,5.420000,5.380000,5.400000,5.327300,13819000
2019-08-09,5.400000,5.450000,5.360000,5.410000,5.337165,22235300
2019-08-12,5.380000,5.380000,5.290000,5.310000,5.238512,12434600
2019-08-13,5.260000,5.390000,5.250000,5.330000,5.258242,20177900
2019-08-14,5.220000,5.220000,5.110000,5.120000,5.051069,25831900
2019-08-15,5.070000,5.100000,5.030000,5.060000,4.991877,18896300
2019-08-16,5.130000,5.170000,5.100000,5.170000,5.100397,11737100
2019-08-19,5.250000,5.250000,5.210000,5.230000,5.159589,8695600
2019-08-20,5.170000,5.190000,5.140000,5.150000,5.080666,10448200
2019-08-21,5.200000,5.210000,5.160000,5.170000,5.100397,7978500
2019-08-22,5.150000,5.180000,5.050000,5.070000,5.001743,25989700
2019-08-23,5.050000,5.100000,5.000000,5.010000,4.942551,24543800
2019-08-26,5.020000,5.030000,4.980000,5.000000,4.932685,10257400
2019-08-27,5.010000,5.020000,4.910000,4.940000,4.873493,19466000
2019-08-28,4.870000,4.930000,4.860000,4.890000,4.824166,17065200
2019-08-29,4.900000,4.950000,4.900000,4.920000,4.853762,11566500
2019-08-30,4.970000,4.980000,4.940000,4.960000,4.893224,9925300
2019-09-03,4.890000,4.920000,4.840000,4.870000,4.804435,19577600
2019-09-04,4.910000,4.930000,4.900000,4.910000,4.843897,9914900
2019-09-05,4.980000,5.000000,4.950000,4.970000,4.903089,14572300
2019-09-06,5.010000,5.050000,4.980000,5.010000,4.942551,11933600
2019-09-09,5.030000,5.030000,4.990000,5.020000,4.952416,11863700
2019-09-10,5.030000,5.120000,5.000000,5.100000,5.031339,18800600
2019-09-11,5.070000,5.120000,5.050000,5.100000,5.031339,15379500
2019-09-12,5.140000,5.250000,5.130000,5.240000,5.169454,18786400
2019-09-13,5.230000,5.230000,5.160000,5.180000,5.110262,8965000
2019-09-16,5.100000,5.140000,5.080000,5.120000,5.051069,13017600
2019-09-17,5.060000,5.170000,5.050000,5.150000,5.080666,18041100
2019-09-18,5.130000,5.170000,5.120000,5.140000,5.070800,11701100
2019-09-19,5.220000,5.250000,5.150000,5.150000,5.080666,14181100
2019-09-20,5.250000,5.330000,5.250000,5.290000,5.218781,23969500
2019-09-23,5.160000,5.180000,5.140000,5.180000,5.110262,17469800
2019-09-24,5.150000,5.160000,5.090000,5.100000,5.031339,25975000
2019-09-25,5.050000,5.080000,5.010000,5.070000,5.001743,15817000
2019-09-26,5.050000,5.050000,4.970000,4.990000,4.922820,15995500
2019-09-27,5.050000,5.090000,4.990000,5.040000,4.972147,20225400
2019-09-30,5.060000,5.110000,5.030000,5.060000,4.991877,16059600
2019-10-01,5.060000,5.060000,4.870000,4.910000,4.843897,54146600
2019-10-02,4.870000,4.870000,4.800000,4.820000,4.755108,31285500
2019-10-03,4.810000,4.870000,4.750000,4.840000,4.774839,23269900
2019-10-04,4.870000,4.890000,4.840000,4.890000,4.824166,13606800
2019-10-07,4.900000,4.960000,4.890000,4.910000,4.843897,13957200
2019-10-08,4.950000,4.960000,4.880000,4.900000,4.834031,14806700
2019-10-09,4.940000,4.940000,4.890000,4.910000,4.843897,19134400
2019-10-10,4.960000,4.980000,4.900000,4.940000,4.873493,26240000
2019-10-11,5.110000,5.120000,5.000000,5.020000,4.952416,30404800
2019-10-14,5.010000,5.030000,4.950000,4.950000,4.883358,26564100
2019-10-15,4.990000,5.050000,4.980000,5.010000,4.942551,17325600
2019-10-16,5.080000,5.100000,5.040000,5.090000,5.021474,17209400
2019-10-17,5.280000,5.280000,5.150000,5.230000,5.159589,36374800
2019-10-18,5.230000,5.240000,5.170000,5.200000,5.129992,34741600
2019-10-21,5.250000,5.270000,5.180000,5.200000,5.129992,18421900
2019-10-22,5.230000,5.240000,5.180000,5.180000,5.110262,18207300
2019-10-23,5.230000,5.240000,5.100000,5.110000,5.041204,34964500
2019-10-24,4.020000,4.090000,3.830000,3.900000,3.847495,251150000
2019-10-25,3.830000,3.850000,3.750000,3.780000,3.729110,83786700
2019-10-28,3.680000,3.700000,3.580000,3.590000,3.541668,82241700
2019-10-29,3.530000,3.620000,3.500000,3.550000,3.502206,59696400
2019-10-30,3.570000,3.650000,3.560000,3.650000,3.600860,53804500
2019-10-31,3.670000,3.680000,3.630000,3.650000,3.600860,34401300
2019-11-01,3.640000,3.700000,3.630000,3.660000,3.610726,29752400
2019-11-04,3.620000,3.650000,3.600000,3.610000,3.561399,24436200
2019-11-05,3.540000,3.570000,3.510000,3.540000,3.492341,38602300
2019-11-06,3.590000,3.640000,3.540000,3.590000,3.541668,41319900
2019-11-07,3.580000,3.610000,3.540000,3.570000,3.521937,25687000
2019-11-08,3.560000,3.580000,3.520000,3.570000,3.521937,20833100
2019-11-11,3.500000,3.570000,3.500000,3.530000,3.482476,39835800
2019-11-12,3.510000,3.530000,3.490000,3.510000,3.462745,25814900
2019-11-13,3.480000,3.500000,3.450000,3.470000,3.423284,23864400
2019-11-14,3.380000,3.400000,3.330000,3.370000,3.324630,37154300
2019-11-15,3.390000,3.470000,3.380000,3.450000,3.403553,28503600
2019-11-18,3.440000,3.490000,3.440000,3.450000,3.403553,29076000
2019-11-19,3.470000,3.470000,3.410000,3.430000,3.383822,30007300
2019-11-20,3.380000,3.400000,3.350000,3.350000,3.304899,18567600
2019-11-21,3.390000,3.400000,3.360000,3.380000,3.334495,20464700
2019-11-22,3.400000,3.460000,3.400000,3.430000,3.383822,16676800
2019-11-25,3.490000,3.510000,3.440000,3.470000,3.423284,20527900
2019-11-26,3.460000,3.460000,3.410000,3.430000,3.383822,20520800
2019-11-27,3.430000,3.480000,3.410000,3.460000,3.413418,16378100
2019-11-29,3.480000,3.510000,3.470000,3.500000,3.452880,7059900
2019-12-02,3.530000,3.540000,3.430000,3.460000,3.413418,23665200
2019-12-03,3.500000,3.510000,3.440000,3.470000,3.423284,24837600
2019-12-04,3.490000,3.530000,3.430000,3.450000,3.403553,33256000
2019-12-05,3.450000,3.510000,3.440000,3.480000,3.433149,17146000
2019-12-06,3.480000,3.510000,3.450000,3.480000,3.433149,15831700
2019-12-09,3.430000,3.450000,3.410000,3.420000,3.373957,15634900
2019-12-10,3.430000,3.450000,3.410000,3.420000,3.373957,17615100
2019-12-11,3.450000,3.470000,3.440000,3.470000,3.423284,11935300
2019-12-12,3.500000,3.580000,3.500000,3.570000,3.521937,23165000
2019-12-13,3.580000,3.620000,3.520000,3.520000,3.472610,20458200
2019-12-16,3.580000,3.600000,3.560000,3.590000,3.541668,13082000
2019-12-17,3.630000,3.630000,3.600000,3.600000,3.551533,17659100
2019-12-18,3.610000,3.620000,3.580000,3.600000,3.551533,16100900
2019-12-19,3.610000,3.630000,3.570000,3.590000,3.541668,16346200
2019-12-20,3.600000,3.610000,3.570000,3.610000,3.561399,21917300
2019-12-23,3.610000,3.640000,3.590000,3.640000,3.590995,16354800
2019-12-24,3.620000,3.640000,3.610000,3.630000,3.581129,6768300
2019-12-26,3.630000,3.640000,3.620000,3.620000,3.571264,9053900
2019-12-27,3.610000,3.630000,3.610000,3.630000,3.581129,9342100
2019-12-30,3.650000,3.720000,3.630000,3.690000,3.640322,27043500
2019-12-31,3.700000,3.730000,3.690000,3.710000,3.660052,14346300
2020-01-02,3.840000,3.890000,3.820000,3.870000,3.817898,33109500
2020-01-03,3.830000,3.870000,3.810000,3.810000,3.758706,25010100
2020-01-06,3.830000,3.990000,3.820000,3.940000,3.886956,59904600
2020-01-07,3.960000,4.010000,3.940000,3.950000,3.896821,36689900
2020-01-08,4.020000,4.050000,4.010000,4.020000,3.965879,32084900
2020-01-09,4.070000,4.080000,4.000000,4.010000,3.956014,25058700
2020-01-10,4.040000,4.070000,4.020000,4.020000,3.965879,21242100
2020-01-13,4.100000,4.110000,4.050000,4.060000,4.005340,29863200
2020-01-14,4.020000,4.040000,3.990000,4.010000,3.956014,23327700
2020-01-15,4.010000,4.100000,4.000000,4.060000,4.005340,21152700
2020-01-16,4.130000,4.240000,4.130000,4.200000,4.143456,30481300
2020-01-17,4.210000,4.220000,4.120000,4.140000,4.084263,28399600
2020-01-21,4.160000,4.170000,4.090000,4.130000,4.074399,21274900
2020-01-22,4.100000,4.140000,4.090000,4.090000,4.034936,19525800
2020-01-23,4.060000,4.080000,4.020000,4.060000,4.005340,27092100
2020-01-24,4.090000,4.090000,4.000000,4.050000,3.995475,29042800
2020-01-27,3.940000,3.980000,3.900000,3.940000,3.886956,31964400
2020-01-28,3.990000,4.070000,3.980000,4.020000,3.965879,23543500
2020-01-29,4.000000,4.020000,3.900000,3.910000,3.857360,27725800
2020-01-30,3.880000,3.960000,3.870000,3.960000,3.906687,23305200
2020-01-31,3.920000,3.920000,3.860000,3.880000,3.827764,25612100
2020-02-03,3.930000,3.940000,3.860000,3.880000,3.827764,31627300
2020-02-04,3.920000,3.980000,3.890000,3.960000,3.906687,29709900
2020-02-05,4.010000,4.030000,3.940000,4.030000,3.975744,27448400
2020-02-06,4.010000,4.220000,3.950000,4.200000,4.143456,90257800
2020-02-07,4.280000,4.420000,4.260000,4.370000,4.311167,102719700
2020-02-10,4.290000,4.310000,4.170000,4.260000,4.202648,63116700
2020-02-11,4.430000,4.530000,4.380000,4.410000,4.350628,82755600
2020-02-12,4.430000,4.490000,4.390000,4.410000,4.350628,34736900
2020-02-13,4.340000,4.400000,4.320000,4.340000,4.281571,30693500
2020-02-14,4.310000,4.330000,4.280000,4.330000,4.271705,23030800
2020-02-18,4.240000,4.250000,4.210000,4.250000,4.192782,22425300
2020-02-19,4.230000,4.250000,4.200000,4.200000,4.143456,26638600
2020-02-20,4.180000,4.190000,4.100000,4.160000,4.103993,25590400
2020-02-21,4.140000,4.180000,4.110000,4.160000,4.103993,21086100
2020-02-24,4.010000,4.070000,4.000000,4.020000,3.965879,35855100
2020-02-25,4.040000,4.040000,3.900000,3.910000,3.857360,35960600
2020-02-26,3.990000,4.430000,3.950000,4.150000,4.094129,93267200
2020-02-27,4.010000,4.120000,3.940000,3.960000,3.906687,62126700
2020-02-28,3.850000,3.890000,3.780000,3.870000,3.817898,58527100
2020-03-02,3.910000,3.960000,3.850000,3.930000,3.877090,41572100
2020-03-03,3.920000,3.960000,3.730000,3.790000,3.738975,45558100
2020-03-04,3.840000,3.860000,3.770000,3.860000,3.808033,23839600
2020-03-05,3.760000,3.790000,3.660000,3.660000,3.610726,35255400
2020-03-06,3.620000,3.660000,3.510000,3.570000,3.521937,39638300
2020-03-09,3.340000,3.450000,3.300000,3.310000,3.265438,54609300
2020-03-10,3.390000,3.400000,3.210000,3.320000,3.275303,42384200
2020-03-11,3.240000,3.260000,3.070000,3.130000,3.087861,41293600
2020-03-12,2.840000,2.930000,2.610000,2.610000,2.574862,51754600
